Erfassungsdatum;Medium;Zaehlerstand
28.02.2018;GAS;7480.6
28.02.2018;STROM;85699.9
28.02.2018;WASSER;462.1
30.04.2018;GAS;8008.8
30.04.2018;STROM;86442.9
30.04.2018;WASSER;482.9
30.06.2018;GAS;8159.8
30.06.2018;STROM;86869.8
30.06.2018;WASSER;508.6
30.09.2018;GAS;8333.5
30.09.2018;STROM;87580.6
30.09.2018;WASSER;548.2
30.11.2018;GAS;8788.9
30.11.2018;STROM;88315.1
30.11.2018;WASSER;566.8
31.01.2018;GAS;7130.3
31.01.2018;STROM;85221.6
31.01.2018;WASSER;453.1
31.03.2018;GAS;7849.6
31.03.2018;STROM;86169.9
31.03.2018;WASSER;472.1
31.05.2018;GAS;8087.2
31.05.2018;STROM;86671.5
31.05.2018;WASSER;496.2
31.07.2018;GAS;8199.7
31.07.2018;STROM;87057.8
31.07.2018;WASSER;521.9
31.08.2018;GAS;8259.2
31.08.2018;STROM;87343.4
31.08.2018;WASSER;537.2
31.10.2018;GAS;8473.6
31.10.2018;STROM;87923.1
31.10.2018;WASSER;555.2
31.12.2018;GAS;9096.3
31.12.2018;STROM;88732.0
31.12.2018;WASSER;574.7
